keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,Home,Home,,0.5,2,6,1,1,1,1,,8,5,0
1,Back,Back,,0.5,2,7,1,1,1,1,,,,0
1,InputText,Input Text,,0.5,2,14,1,1,1,1,,,,0
1,Lock,Lock,,0.5,2,15,1,1,1,1,,,,0
1,ZoomIn,Zoom In,,0.5,2,22,1,1,1,1,,,,0
1,ZoomOut,Zoom Out,,0.5,2,23,1,1,1,1,,,,0
1,ScrollUp,Scroll Up,,0.5,2,30,1,1,1,1,,,,0
1,ScrollLeft,Scroll Left,,0.5,2,31,1,1,1,1,,,,0
1,ScrollDown,Scroll Down,,0.5,2,38,1,1,1,1,,,,0
1,ScrollRight,Scroll Right,,0.5,2,39,1,1,1,1,,,,0
